"source_group","dataset","dataset_md5","n","p","metric","seed","query_n","query_sampling","reference_k","reference_backend_used","cpu_audit_n","cpu_audit_mean_recall","cpu_audit_min_recall","cpu_audit_max_distance_error","cpu_audit_pass","faissR_version","faissR_package_commit","faissR_image_commit","record_source"
"real","FlowRepository_FR-FCM-ZYRM_files","560c41ccc6a67aa034a44eb3b14c60ba",5220347,32,"correlation",4,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",29,1,1,2.10478901863098e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","FlowRepository_FR-FCM-ZYRM_files","560c41ccc6a67aa034a44eb3b14c60ba",5220347,32,"correlation",20260706,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",29,1,1,2.27242708206177e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","FlowRepository_FR-FCM-ZYRM_files","560c41ccc6a67aa034a44eb3b14c60ba",5220347,32,"correlation",20260807,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",29,1,1,2.88709998130798e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","MNIST","b63d063e7332b8e685cd6decd766326c",70000,784,"euclidean",4,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,1,1,0.000655633232554464,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","MNIST","b63d063e7332b8e685cd6decd766326c",70000,784,"euclidean",20260706,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,1,1,0.000503661967513835,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","MNIST","b63d063e7332b8e685cd6decd766326c",70000,784,"euclidean",20260807,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,1,1,0.00055970945311401,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","MNIST","b63d063e7332b8e685cd6decd766326c",70000,784,"cosine",4,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,5.66244125366211e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","MNIST","b63d063e7332b8e685cd6decd766326c",70000,784,"cosine",20260706,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,5.96046447753906e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","MNIST","b63d063e7332b8e685cd6decd766326c",70000,784,"cosine",20260807,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,5.96046447753906e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","MNIST","b63d063e7332b8e685cd6decd766326c",70000,784,"correlation",4,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,5.00679016113281e-06,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
